Project,BHK,Location,total_floors,Carpet Area,Super Area,Price,Price Per Sqft
Kumar Palmsprings Towers,3,Kumar Palmsprings Towers,14,1200,1600,9700000,6062
Kohinoor Sportsville,2,Kohinoor Sportsville,14,693,935,5820000,6226
Vertillas,3,EON Free Zone,18,1555,2099,19900000,9481
Santiago Uptown,2,Santiago Uptown,11,760,1230,6900000,5610
K Shire,2,Punawale,20,793,1070,6500000,6075
Kumar Parth Tower,3,Kumar Parth Tower,35,1091,1470,12300000,8367
Codename Fireworks,2,Codename Fireworks,30,828,1134,9690000,8545
Unique Youtopia,3,Ashoka Nagar,13,918,1239,11000000,8878
Ganga Florentina,3,Ganga Florentina,15,1150,1500,11000000,7333
The Balmoral,3,The Balmoral,39,1256,1700,19400000,11412
Venkatesh Viom,2,Bhusari Colony,11,821,1190,14000000,11765
La Moda,2,La Moda,16,767,1035,8900000,8599
Kshitij Residency,2,Kshitij Residency,11,720,972,12300000,12654
Oxy Beaumonde,2,Oxy Beaumonde,9,793,1110,10400000,9369
Joyville Hinjawadi,2,Joyville Hinjawadi,22,715,715,6900000,9650
Gini Vivante,3,Kiwale,27,883,1201,7700000,6411
Kohinoor Viva City,3,Kohinoor Viva City,9,1085,1465,9140000,6237
Vision Vanessa,3,Ravet,22,1425,2000,16700000,8350
Nivasa Elevia,2,Nivasa Elevia,16,750,1012,5990000,5919
K City,3,K City,11,940,1316,8100000,6157
Belmac Residences,3,Belmac Residences,15,1350,1821,20900000,11477
Riverdale Grove,3,Riverdale Grove,33,1084,1563,14500000,9277
Kohinoor Viva City,3,Parande Nagar,9,1037,1400,9200000,6571
Flamante By VTP Luxe Phase 1,4,Flamante By VTP Luxe Phase 1,33,1696,1995,19500000,9775
Pride World City,2,Pride World City,10,1010,1365,9500000,6960
Shapoorji Pallonji Vanaha,3,Shapoorji Pallonji Vanaha,21,1495,2093,20900000,9986
Godrej Riverhills,3,Godrej Riverhills,30,900,1200,8500000,7083
TCG The Cliff Garden,2,TCG The Cliff Garden,12,1012,787,6450000,8191
Choic Goodwill Metropolis East,3,Choic Goodwill Metropolis East,12,859,1200,7000000,5833
Majestique Marbella,2,Majestique Marbella,17,824,1180,9000000,7627
Kohinoor Kaleido,3,Kohinoor Kaleido,27,989,1350,12000000,8889
Royal KP Stellar,2,Dorabjee Paradise,20,750,1050,6500000,6190
The Address,3,The Address,15,1144,1822,15500000,8507
Pharande Puneville Phase III Cluster A,3,Pharande,22,1162,1568,11500000,7334
Pristine Allure,3,Pristine Allure,13,1000,1372,11100000,8090
