Society,Card Title,Carpet Area,Price,Price Per Sqft,Floor
,3 BHK Apartment for Sale in Paud Road Pune,943 sqft,₹1.63 Cr,"₹12,824 per sqft",10 out of 12
Yashada Jubilee Hills,"3 BHK Apartment for Sale in Yashada Jubilee Hills, Baner Pune",1150 sqft,₹1.50 Cr,"₹10,000 per sqft",15 out of 18
Raheja Stellar,"4 BHK Apartment for Sale in Raheja Stellar, NIBM Road Pune",2685 sqft,₹3.40 Cr,"₹8,947 per sqft",4 out of 29
Bramha the Collection,"4 BHK Apartment for Sale in Bramha the Collection, New Kalyani Nagar Pune",1854 sqft,₹2.73 Cr,"₹12,419 per sqft",6 out of 22
Riverdale Grove,"2 BHK Apartment for Sale in Riverdale Grove, Kharadi Pune",737 sqft,₹1 Cr,"₹9,259 per sqft",17 out of 26
Gagan Adira,"2 BHK Apartment for Sale in Gagan Adira, Wagholi Pune",815 sqft,₹75 Lac,"₹8,065 per sqft",6 out of 12
ARV New Town,"3 BHK Apartment for Sale in ARV New Town, Pisoli Pune",839 sqft,₹57 Lac,"₹5,229 per sqft",5 out of 15
Megapolis Serenity,"2 BHK Apartment for Sale in Megapolis Serenity, Hinjawadi Pune",698 sqft,₹60.5 Lac,"₹4,760 per sqft",5 out of 19
Park Titan,"3 BHK Apartment for Sale in Park Titan, Marunji, Hinjawadi Pune",985 sqft,₹93.1 Lac,"₹7,005 per sqft",12 out of 23
,2 BHK Apartment for Sale in Choudhari Wasti Pune,870 sqft,₹98 Lac,"₹8,522 per sqft",11 out of 26
K Shire,"2 BHK Apartment for Sale in K Shire, Punawale, Pimpri Chinchwad Pune",800 sqft,₹69 Lac,"₹6,473 per sqft",17 out of 20
Rohan Ekam,"3 BHK Apartment for Sale in Rohan Ekam, Balewadi Pune",1400 sqft,₹2.05 Cr,"₹10,317 per sqft",23 out of 30
Chandrangan Revanta,"2 BHK Apartment for Sale in Chandrangan Revanta, Ambegaon BK Pune",759 sqft,₹62.1 Lac,"₹5,931 per sqft",4 out of 7
Belmac Residences,"3 BHK Apartment for Sale in Belmac Residences, New Kalyani Nagar Pune",1350 sqft,₹2.49 Cr,"₹15,562 per sqft",7 out of 20
Godrej Skygreens,"1 BHK Apartment for Sale in Godrej Skygreens, Manjari Khurd Pune",,₹43 Lac,"₹7,167 per sqft",23 out of 27
Ashiana Malhar,"2 BHK Apartment for Sale in Ashiana Malhar, Hinjawadi Pune",733 sqft,₹66 Lac,"₹6,673 per sqft",7 out of 14
,"1 BHK Apartment for Sale in Mhada Colony-Viman Nagar, Viman Nagar Pune",400 sqft,₹47 Lac,"₹8,545 per sqft",5 out of 11
5 Race Course,"3 BHK Apartment for Sale in 5 Race Course, Wanwadi Pune",,₹1.69 Cr,"₹8,961 per sqft",12 out of 23
